image,mask
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\548.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\548.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2626.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2626.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\3047.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\3047.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1483.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1483.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2683.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2683.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2019.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2019.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\812.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\812.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\996.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\996.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\628.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\628.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\200.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\200.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1635.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1635.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1380.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1380.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1060.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1060.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\31.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\31.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\487.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\487.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1581.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1581.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2593.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2593.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\48.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\48.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1898.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1898.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2281.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2281.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\614.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\614.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2013.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2013.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2278.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2278.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\1557.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\1557.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2479.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2479.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\2136.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\2136.png
C:\Users\Ismail\Documents\medical-segmentation\data\raw\images\882.png,C:\Users\Ismail\Documents\medical-segmentation\data\raw\masks\882.png
